Causes of the Disease,Symptoms of the Disease,Prevention of the Disease,Treatment,Is the Disease in Your Body or Not?
Chemicals,Diarrhea, Smoking Cessation,Surgery,You have colorectal cancer
Radioactive Materials and Radiation,Constipation,Avoiding Obesity and Maintaining a Healthy Weight,Chemotherapy,You do not have colorectal cancer
Hormonal or Genetic Disorder,Blood in Stool,Early Detection,Radiation Therapy,
Genetics and Family Medical History,Abdominal Pain,Regular Exercise,,
 If the Disease Has Been Contracted Before,Low Iron Levels,Eating Fruits and Vegetables,,
, Rectal Bleeding,Consuming a Healthy Diet Rich in Fiber,,
,Persistent Colon Bloating,"Reducing Fat Intake, Especially Saturated Fats",,
, Severe Unexplained Anemia,,,
,Unexplained Weight Loss,,,
,Loss of Appetite,,,
, Extreme Fatigue,,,
